bus_stop,latitude,longitude,line
Abbaye,49.39804764,2.80485587,1
Anatole France,49.40766477,2.80585215,2
Ancien Hôpital,49.41333122,2.82221922,3
André Malraux,49.39899283,2.79499547,1
André Malraux,49.39899283,2.79499547,2
André Malraux,49.39899283,2.79499547,5
Aventis,49.4298946,2.85909382
Bannière du Roi,49.42581429,2.83407066,3
Barbillon,49.43343117,2.84501186,3
Barthou,49.42435487,2.81056294,4
Bataillon de France,49.42318066,2.83879608
Bellicart,49.42775134,2.84775134,3
Blaise Pascal,49.39653433,2.7942303,1
Blaise Pascal,49.39653433,2.7942303,2
Blaise Pascal,49.39653433,2.7942303,5
Bois de Plaisance,49.41216549,2.77227221,4
Bournonville,49.4082098,2.83567605,1
Bournonville 2,49.40940895,2.83461386,1
CIMA,49.38402619,2.78798181,5
CIMA,49.38402619,2.78798181,3
Cailloux,49.40606196,2.78319209,2
Camp de Royallieu,49.40376097,2.80485289,1
Camp de Royallieu,49.40376097,2.80485289,5
Camp du Roy,49.40429412,2.78025839,4
Capucins,49.41454826,2.82114302,3
Carnot,49.40916859,2.82971045,1
Carrefour Napoleon,49.40629889,2.8372406,1
Castors,49.42140038,2.80572982,4
Centre Commercial Jaux Venette,49.40756881,2.781388,4
Centre Commercial Jaux Venette,49.40756881,2.781388,2
Centre Commercial Royallieu,49.39675825,2.79676481,1
Centre Culturel,49.40784099,2.80903387,5
Centre Culturel,49.40784099,2.80903387,3
Centre de Recherches,49.400862,2.79952701,5
Centre de Recherches,49.400862,2.79952701,2
Centre de Secours,49.40976531,2.80160351,3
Chemin d'Armancourt,49.39043224,2.79487781,1
Château de Venette,49.4185397,2.80446442,4
Cimetière Nord,49.42463178,2.84193635
Cimetière de Venette,49.41039056,2.79549645,4
Clos des Roses,49.4071175,2.80335541,2
Collège Debussy,49.43260057,2.82868218,2
Croix Rouge,49.40546894,2.81144864,5
De Lattre de Tassigny,49.40447364,2.81552788,2
Delaïdde,49.40855946,2.80908178,5
Docteur Calmette,49.40005296,2.79259613,3
Docteur Guérin,49.39908306,2.79013747,3
Domeliers,49.41454693,2.82370395
Ecole Saint-Germain,49.40964606,2.8160029,3
Edmond Rostand,49.40273881,2.80203545,5
Edmond Rostand,49.40273881,2.80203545,2
Edouard Belin,49.38628489,2.79646461,3
Eglise Saint-Germain,49.41376329,2.81525655,5
Ferdinand De Lesseps,49.39598559,2.78486623,3
Foyer Edith Piaf,49.42826788,2.82051504,2
Gambetta,49.41216561,2.81492499,5
Gare,49.42172441,2.82370319,1
Gare,49.42172441,2.82370319,5
Gare,49.42172441,2.82370319,3
Gare,49.42172441,2.82370319,2
Gare,49.42172441,2.82370319,4
Georges Clémenceau,49.42095261,2.83669498
Glacière,49.4056672,2.81808575,2
Grande-Bretagne,49.40864712,2.83853005,1
Guy Denielou,49.40091792,2.79665066,1
Guy Denielou,49.40091792,2.79665066,2
Guy Denielou,49.40091792,2.79665066,5
Guy Denielou,49.40091792,2.79665066,3
Gymnase de Margny,49.42108647,2.81020228,4
Harlay,49.41933773,2.82300583,3
Hauts de Venette,49.4140987,2.79124763,4
Hippolyte Bottier,49.42041389,2.82567365,3
Huy - Senlis,49.39434732,2.80465699
Hôpital,49.38742027,2.79080515,1
Hôpital,49.38742027,2.79080515,3
Hôpital,49.38742027,2.79080515,5
Hôpital de Jour,49.40491475,2.79917809,3
Jacques Monod,49.41424588,2.82926354,1
Jacques Monod,49.41424588,2.82926354,2
Jean L'Huillier,49.39913189,2.81243615,1
Jean Monnet,49.38142743,2.78142318,5
Jean Monnet,49.38142743,2.78142318,3
Jeanne d'Arc,49.42823137,2.82953549,2
Joseph Cugnot,49.3929995,2.78338243,3
Justice,49.40800065,2.82310496,2
La Planchette,49.43031509,2.83616642,2
La Vènerie,49.40710103,2.83225117,1
La Vènerie,49.40710103,2.83225117,2
Les Jardins,49.40853278,2.80671363,3
Libération,49.40499985,2.82543051,1
Lycée Charles de Gaulle,49.38370756,2.78186948,1
Lycée Charles de Gaulle,49.38370756,2.78186948,3
Lycée Charles de Gaulle,49.38370756,2.78186948,5
Lycée Pierre d'Ailly,49.40567941,2.83715197,1
L’Echarde - Zone Nord,49.42598575,2.84466269
Magenta,49.41620394,2.8271206,1
Magenta,49.41620394,2.8271206,2
Mairie de Margny,49.42425655,2.81949948,4
Mairie de Margny,49.42425655,2.81949948,2
Mairie de Venette,49.41604556,2.79898921,4
Maison de l'Europe,49.40686629,2.83688821
Margny de Gaulle,49.42270135,2.81072669,4
Marronniers,49.43393425,2.87603536,3
Mercières,49.39217926,2.78898929,1
Mercières,49.39217926,2.78898929,5
Mercure,49.38071493,2.78460919,5
Mercure,49.38071493,2.78460919,3
Monnet,49.40938534,2.77841628,2
Monnet,49.40938534,2.77841628,4
Mousquetaires,49.43397364,2.8420421,2
Multiplexe,49.40327028,2.77528022
Mémorial,49.40247043,2.80868163,1
Octave Butin,49.42662867,2.81709797,4
Octave Butin,49.42662867,2.81709797,2
Ouïnels,49.43459036,2.83414195,2
Palais,49.41799162,2.82931325,4
Paramé,49.42973247,2.82709838,2
Parc Songeons,49.41845271,2.82193719,3
Parc de Loisirs,49.38858076,2.78315025,1
Parc de Loisirs,49.38858076,2.78315025,5
Parc de Loisirs,49.38858076,2.78315025,3
Paul Cosyns,49.42239917,2.84308488
Picardie,49.3997029,2.80886267,1
Pillet Will,49.39670643,2.8078579
Piscine,49.40213656,2.81814901,1
Poincaré Centre Commercial,49.42868265,2.83339607,2
Pommerelles,49.41009691,2.82896216,2
Port à Bateaux,49.41571422,2.81936407,5
Port à Bateaux,49.41571422,2.81936407,3
Port à carreaux,49.43625759,2.8457699,2
Prairie,49.42087321,2.80730857,4
Raleigh,49.41063277,2.80724225,3
Robert Desnos,49.40413116,2.80204806,2
Robida,49.40439672,2.81226468,2
Roger Couttolenc,49.41534713,2.81905771,5
Rond Royal,49.41278537,2.83708356,1
Route Forestière du Moulin,49.40090534,2.83377434
Royallieu,49.39511514,2.80356292
Rue d'Amiens,49.42258902,2.82091595,4
Rue d'Amiens,49.42258902,2.82091595,2
Rue de Clermont,49.4189012,2.81761775,5
Rue de Paris,49.41054828,2.81727793,3
Rue de l'Aisne,49.42927587,2.83765751,3
République,49.42888892,2.82244903,2
Réservoirs,49.40694768,2.82580698,1
Résidence Universitaire,49.41114849,2.81316704,5
Saint Corneille,49.41665234,2.82287024
Saint Côme - Mémorial,49.40347318,2.80724547,5
Saint Fiacre,49.40709784,2.81297802,3
Saint Jacques,49.4170052,2.82668764,4
Saint Joseph,49.40908661,2.82020558,3
Saint Joseph,49.40908661,2.82020558,2
Saint-Lazare,49.41188185,2.83181544,1
Salle des Sports,49.41279039,2.82711553,2
Soissons,49.42250293,2.83542941
Solférino,49.41854839,2.82493987,1
Solférino,49.41854839,2.82493987,2
Solférino,49.41854839,2.82493987,4
Sous-Préfecture,49.41581974,2.83320277,1
Sports Nautiques,49.42268485,2.83051504,3
Square Bonnault,49.4072625,2.82791626,2
Square Nolet,49.41358227,2.79949022,4
Stade Robert Dubois,49.43015188,2.82557362,2
Stade du Clos des Roses,49.40728067,2.80064489,3
Stalingrad,49.39390218,2.79895507,1
Veneurs,49.41101775,2.83004486
Verdun,49.40288786,2.82787441,1
Vermandois,49.43153544,2.84080606,3
Victoire,49.40480199,2.82326738,1
Victor Hugo,49.41575076,2.83031065
Vivier Corax,49.3960908,2.79981434,1
Weygand,49.40667877,2.80760524,2
